Benchmark Cycles Instructions cycle_activity:cycles_no_execute cycle_activity:stalls_ldm_pending cycle_activity:stalls_l2_pending
mcf 23663191344 20414498099 11425924968 9772989706 8784507856
sjeng 27166205275 41491642555 7237717705 4119896311 2046072821
libquantum 32971779674 71633204449 7252400140 7113292419 6794781452
bwaves 32577627127 48794420183 8527951356 5915534733 2323057509
gamess 26544751524 61090112950 1491093848 907173524 33364210
milc 27254590750 29182393433 15646904841 14888430557 14466456504
zeusmp 26818602165 38791226172 7840300157 7419963329 4017782009
leslie3d 31197406947 50420441361 9532605116 6766508155 4954039991
gemsFDTD 29248277735 44698731233 10180598355 9484259605 8943468002
lbm 33110617565 45775487785 10279083153 2541760285 1326667766
 
